business_name,phone,address,website,rating,review_count,place_id,query_source,date_pulled
Frankies Mobil 1 Lube Express,(713) 253-0432,2107 Richmond Avenue Houston TX 77098,https://frankiesmobil1.com/,,,osm:node:2587439083,osm overpass car_repair in Houston,2026-09-14
Lone Star Chevrolet Collision Center,(281) 517-1800,18900 Northwest Freeway Houston TX 77065,https://www.lonestarchevroletcollisioncenter.com/,,,osm:node:2587803131,osm overpass car_repair in Houston,2026-09-14
Japan Car Care,(281) 444-4708,12818 Veterans Memorial Drive Houston 77014,,,,osm:node:2733059891,osm overpass car_repair in Houston,2026-09-14
My Transmission Experts,(281) 392-5060,21946 Kingsland Boulevard Katy TX 77450,https://www.mytransmissionexperts.com/locations/katy/,,,osm:node:3765777361,osm overpass car_repair in Houston,2026-09-14
Bay Area Body Shop,(281) 474-4711,3110 Bayport Boulevard Seabrook TX 77586,,,,osm:node:4515679033,osm overpass car_repair in Houston,2026-09-14
"All-Star Tire Co., Inc.",(713) 514-0000,619C Broadway Street Houston TX 77012,https://all-startire.com/,,,osm:node:4544454861,osm overpass car_repair in Houston,2026-09-14
Huffman Collision Center,(281) 361-5600,30737 Huffman Cleveland Road Huffman TX 77336,http://huffmancollisioninc.com,,,osm:node:4574465452,osm overpass car_repair in Houston,2026-09-14
CSI Collision,(281) 550-2800,5138 North Highway 6 Houston TX 77084,https://bearcreekcollision.com/,,,osm:node:4618148581,osm overpass car_repair in Houston,2026-09-14
Klein Car Care,(281) 257-6819,18627 Kuykendahl Road Spring TX 77379,http://kleincarcare.com,,,osm:node:4625320896,osm overpass car_repair in Houston,2026-09-14
Crash Champions,(281) 212-5000,Houston,https://crashchampions.com/locations/crash-champions-clear-lake,,,osm:node:5182375330,osm overpass car_repair in Houston,2026-09-14
Allstar Glass Corporation,(281) 575-7575,5138 North Highway 6 Houston TX 77084,https://allstar-glass.com/,,,osm:node:5265450305,osm overpass car_repair in Houston,2026-09-14
Express Oil Change & Tire Engineers,(281) 861-9928,9340 Barker Cypress Road Cypress TX 77433,https://www.expressoil.com/stores/cypress/tx/0085/,,,osm:node:5649897849,osm overpass car_repair in Houston,2026-09-14
Express Oil Change & Tire Engineers,(281) 499-8777,3801 Fm 1092 Road Missouri City TX 77459,https://www.expressoil.com/stores/missouri-city/tx/0084/,,,osm:node:5649897850,osm overpass car_repair in Houston,2026-09-14
Express Oil Change & Tire Engineers,(281) 578-0011,1803 South Mason Road Katy TX 77450,https://www.expressoil.com/stores/katy/tx/0083/,,,osm:node:5649897851,osm overpass car_repair in Houston,2026-09-14
Express Oil Change & Tire Engineers,(281) 469-3287,12807 FM 1960 West Houston TX 77065,https://www.expressoil.com/stores/houston/tx/0082/,,,osm:node:5649897852,osm overpass car_repair in Houston,2026-09-14
Head Rebuilders Inc.,(713) 661-6609,6703 Alder Drive Houston TX 77081,https://headrebuildersinc.com/,,,osm:node:5704116682,osm overpass car_repair in Houston,2026-09-14
Express Oil Change & Tire Engineers,(281) 907-0345,3155 Riley Fuzzel Road Spring TX 77386,https://www.expressoil.com/stores/spring/tx/1021/,,,osm:node:5718694856,osm overpass car_repair in Houston,2026-09-14
Guardado's Tire Shop #2,(281) 583-2066,17611 Kuykendahl Road Spring TX 77379,http://guardadostireshop.com,,,osm:node:5864942648,osm overpass car_repair in Houston,2026-09-14
